Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.925Ag0.075Se4,673,106,43417,1.87,0.00049 ,0.18 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.95Ag0.05Se4,323,34,258333,4.21,0.00031 ,0.02 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.95Ag0.05Se4,373,39,238462,3.53,0.00036 ,0.04 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.95Ag0.05Se4,473,51,198718,3.12,0.00051 ,0.08 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.95Ag0.05Se4,573,66,164800,2.56,0.00072 ,0.16 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.95Ag0.05Se4,673,77,133700,2.13,0.00079 ,0.26 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.98Ag0.02Se4,323,68,34910,4.36,0.00016 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.98Ag0.02Se4,373,78,38847,3.84,0.00024 ,0.02 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.98Ag0.02Se4,473,96,50654,3.64,0.00046 ,0.06 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.98Ag0.02Se4,573,114,44034,3.18,0.00057 ,0.10 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSn0.98Ag0.02Se4,673,134,36730,2.91,0.00066 ,0.13 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSnSe4,323,106,21008,4.57,0.00024 ,0.02 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSnSe4,373,117,19531,3.99,0.00027 ,0.02 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSnSe4,473,145,16500,3.76,0.00035 ,0.04 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSnSe4,573,165,15060,3.30,0.00041 ,0.07 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2ZnSnSe4,673,192,12300,3.02,0.00045 ,0.10 ,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.85(Ga2Te3)0.15,331,79,58519,1.78,0.00036 ,0.07 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.85(Ga2Te3)0.15,429,102,50000,1.63,0.00052 ,0.14 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.85(Ga2Te3)0.15,527,123,41941,1.43,0.00064 ,0.23 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.85(Ga2Te3)0.15,624,150,31853,1.24,0.00071 ,0.36 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.85(Ga2Te3)0.15,674,161,28782,1.20,0.00074 ,0.42 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.85(Ga2Te3)0.15,741,183,19467,1.04,0.00065 ,0.47 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.85(Ga2Te3)0.15,800,225,9856,0.72,0.00050 ,0.56 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.875(Ga2Te3)0.125,331,75,93015,2.41,0.00052 ,0.07 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.875(Ga2Te3)0.125,429,96,80475,2.19,0.00074 ,0.15 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.875(Ga2Te3)0.125,527,117,68624,1.93,0.00093 ,0.26 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.875(Ga2Te3)0.125,624,140,52117,1.68,0.00103 ,0.38 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.875(Ga2Te3)0.125,674,146,48829,1.53,0.00105 ,0.46 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.875(Ga2Te3)0.125,741,170,34493,1.38,0.00100 ,0.53 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.895(Ga2Te3)0.105,331,52,178473,2.95,0.00048 ,0.05 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.895(Ga2Te3)0.105,405,63,161268,2.89,0.00063 ,0.09 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.895(Ga2Te3)0.105,479,75,141561,2.64,0.00080 ,0.15 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.895(Ga2Te3)0.105,554,89,122476,2.36,0.00097 ,0.23 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.895(Ga2Te3)0.105,627,102,104440,2.27,0.00109 ,0.30 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.895(Ga2Te3)0.105,700,116,86518,2.18,0.00117 ,0.38 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.895(Ga2Te3)0.105,746,138,63800,1.48,0.00122 ,0.62 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.895(Ga2Te3)0.105,798,181,29628,0.83,0.00097 ,0.93 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.915(Ga2Te3)0.085,331,47,186400,3.84,0.00042 ,0.04 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.915(Ga2Te3)0.085,405,58,168430,3.74,0.00057 ,0.06 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.915(Ga2Te3)0.085,479,72,150000,3.43,0.00077 ,0.11 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.915(Ga2Te3)0.085,554,85,131670,3.18,0.00095 ,0.17 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.915(Ga2Te3)0.085,627,97,113920,3.15,0.00107 ,0.21 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.915(Ga2Te3)0.085,700,112,94370,2.77,0.00118 ,0.30 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.915(Ga2Te3)0.085,741,120,84000,1.98,0.00121 ,0.45 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Cu3SnS4)0.915(Ga2Te3)0.085,798,183,27960,0.93,0.00094 ,0.80 ,https://doi.org/10.1021/acs.inorgchem.1c01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge3Sb3S32,309,116,57368,1.69,0.00077 ,0.14 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge3Sb3S32,400,139,48018,1.40,0.00093 ,0.26 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge3Sb3S32,497,162,37544,1.20,0.00099 ,0.41 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge3Sb3S32,594,186,29781,1.05,0.00103 ,0.58 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge3Sb3S32,674,206,24605,0.96,0.00104 ,0.74 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge4Sb2S32,309,67,175410,2.57,0.00078 ,0.09 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge4Sb2S32,400,84,140800,2.26,0.00099 ,0.18 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge4Sb2S32,497,104,111500,2.04,0.00121 ,0.29 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge4Sb2S32,594,123,86508,1.82,0.00131 ,0.43 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge4Sb2S32,674,141,70500,1.67,0.00140 ,0.57 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge5SbS32,309,40,334375,3.65,0.00053 ,0.05 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge5SbS32,400,55,260976,3.12,0.00078 ,0.10 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge5SbS32,497,71,201887,2.78,0.00102 ,0.18 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge5SbS32,594,89,155100,2.48,0.00123 ,0.29 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge5SbS32,674,105,125900,2.30,0.00138 ,0.40 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge6S32,309,19,545000,5.31,0.00019 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge6S32,400,33,389286,4.43,0.00041 ,0.04 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge6S32,497,49,302778,3.87,0.00073 ,0.09 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge6S32,594,66,232000,3.34,0.00100 ,0.18 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu26V2Ge6S32,674,79,191500,3.01,0.00120 ,0.27 ,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.95Ni0.05GeTe,327,-44,171693,6.25,0.00034 ,0.02 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.95Ni0.05GeTe,394,-55,158995,5.65,0.00048 ,0.03 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.95Ni0.05GeTe,478,-66,144444,5.25,0.00064 ,0.06 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.95Ni0.05GeTe,551,-76,133862,4.97,0.00077 ,0.09 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.95Ni0.05GeTe,626,-88,125397,4.91,0.00097 ,0.12 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.95Ni0.05GeTe,701,-94,120899,4.89,0.00107 ,0.15 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.95Ni0.05GeTe,776,-96,120370,5.04,0.00112 ,0.17 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.95Ni0.05GeTe,825,-96,121693,5.23,0.00113 ,0.18 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.97Ni0.03GeTe,327,-81,90957,6.33,0.00060 ,0.03 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.97Ni0.03GeTe,394,-95,84574,5.84,0.00076 ,0.05 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.97Ni0.03GeTe,478,-109,76064,4.95,0.00091 ,0.09 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.97Ni0.03GeTe,551,-117,72074,4.49,0.00099 ,0.12 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.97Ni0.03GeTe,626,-118,71542,4.31,0.00100 ,0.14 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.97Ni0.03GeTe,701,-112,74468,4.30,0.00094 ,0.15 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.97Ni0.03GeTe,776,-104,80585,4.47,0.00088 ,0.15 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.97Ni0.03GeTe,825,-98,86436,4.68,0.00083 ,0.15 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.99Ni0.01GeTe,327,-115,57181,6.95,0.00076 ,0.04 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.99Ni0.01GeTe,394,-131,52128,6.11,0.00090 ,0.06 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.99Ni0.01GeTe,478,-142,48138,5.11,0.00098 ,0.09 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.99Ni0.01GeTe,551,-140,48404,4.76,0.00094 ,0.11 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.99Ni0.01GeTe,626,-125,52926,4.60,0.00083 ,0.11 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.99Ni0.01GeTe,701,-108,61170,4.66,0.00071 ,0.11 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.99Ni0.01GeTe,776,-94,72340,4.84,0.00064 ,0.10 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co0.99Ni0.01GeTe,825,-87,80319,5.05,0.00061 ,0.10 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoGeTe,327,-176,5850,8.30,0.00018 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoGeTe,394,-185,5320,7.34,0.00018 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoGeTe,478,-171,6120,6.45,0.00018 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoGeTe,551,-140,7181,5.97,0.00014 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoGeTe,626,-111,9043,5.83,0.00011 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoGeTe,701,-92,11702,5.89,0.00010 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoGeTe,776,-79,14894,6.04,0.00009 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoGeTe,825,-74,18600,6.19,0.00010 ,0.01 ,https://doi.org/10.1021/acs.inorgchem.1c01538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.5Te0.5,300,-91,61743,0.61 ,0.00051 ,0.25 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.5Te0.5,315,-93,63400,0.63 ,0.00055 ,0.27 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.5Te0.5,330,-95,64495,0.65 ,0.00058 ,0.30 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.5Te0.5,345,-98,65000,0.66 ,0.00062 ,0.33 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.5Te0.5,360,-101,64587,0.67 ,0.00066 ,0.36 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.5Te0.5,375,-104,64000,0.67 ,0.00069 ,0.39 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.5Te0.5,390,-108,61927,0.67 ,0.00072 ,0.42 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.6Te0.4,300,-107,75500,0.67 ,0.00086 ,0.39 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.6Te0.4,315,-108,77156,0.69 ,0.00090 ,0.41 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.6Te0.4,330,-109,78350,0.71 ,0.00093 ,0.44 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.6Te0.4,345,-111,78990,0.72 ,0.00097 ,0.47 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.6Te0.4,360,-113,79266,0.74 ,0.00101 ,0.49 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.6Te0.4,375,-115,78990,0.75 ,0.00104 ,0.52 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.6Te0.4,390,-118,78350,0.77 ,0.00108 ,0.55 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.8Te0.2,300,-127,90640,0.75 ,0.00145 ,0.58 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.8Te0.2,315,-127,93850,0.77 ,0.00150 ,0.62 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.8Te0.2,330,-127,96800,0.78 ,0.00155 ,0.65 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.8Te0.2,345,-127,99080,0.80 ,0.00159 ,0.69 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.8Te0.2,360,-127,100825,0.82 ,0.00163 ,0.72 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.8Te0.2,375,-128,101835,0.84 ,0.00166 ,0.74 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2.0Se0.8Te0.2,390,-128,102110,0.86 ,0.00167 ,0.76 ,https://doi.org/10.1021/acs.inorgchem.1c01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
